District,District_Index,NDVI,EVI,NIR-V,CSIF,Rainfall,Tmax,Tmin,Solr_mean,Ground_Truth
agra 2001,0,0.2023072652598782,0.1431101685313695,0.0611467086234244,0.086566485,0.0,40.38556289672852,27.01172637939453,283.1821594238281,1.878603945371776
agra 2001,0,0.2302625973658122,0.1600004248689987,0.0688589905438323,0.13164382,1.4680833,36.83903503417969,26.084339141845703,275.81808471679693,1.878603945371776
agra 2001,0,0.3308999716754001,0.2411481234952556,0.1073664357527262,0.23251039999999998,1.9209133000000003,35.577919006347656,27.15829086303711,256.35134887695307,1.878603945371776
agra 2001,0,0.3926188925081433,0.3074160742104518,0.1443077682197989,0.44427797,6.866811,33.226791381835945,27.038169860839844,226.72198486328125,1.878603945371776
agra 2001,0,0.4610614927064155,0.3735848888259453,0.179207073411698,0.6792059,13.139719,33.62639617919922,26.90119361877441,257.19467163085943,1.878603945371776
agra 2001,0,0.5017538309021385,0.3734477836000566,0.1728536177552754,0.75841177,4.8078937999999996,33.64553451538086,26.635276794433594,253.3144836425781,1.878603945371776
agra 2001,0,0.4492807817589576,0.330866987678799,0.1520193177496105,0.6864975999999999,4.879338,34.307979583740234,26.412660598754886,253.63784790039062,1.878603945371776
agra 2001,0,0.38598464806684596,0.272501982721994,0.1213652077028749,0.5069146,0.5105514,34.91457748413086,24.043460845947266,267.59902954101557,1.878603945371776
agra 2001,0,0.3499712363687863,0.2221340603313978,0.0927281110154369,0.31545478,1.4953929,33.257362365722656,23.802349090576172,215.4834289550781,1.878603945371776
agra 2001,0,0.3037298966152103,0.1954675541707973,0.0821061970853986,0.2433702,1.4946313999999998,34.220901489257805,19.286155700683594,226.94146728515625,1.878603945371776
agra 2001,0,0.2921403483925789,0.1807298399660105,0.0731461134131142,0.16865462,0.0,30.4990177154541,17.098939895629886,202.43685913085938,1.878603945371776
agra 2001,0,0.3648941368078175,0.2270668177311995,0.09400463274040499,0.17677027,0.0,28.266679763793945,12.648252487182615,194.84487915039062,1.878603945371776
agra 2002,0,0.2058176305051357,0.1496883213732939,0.0655260809230336,0.08617943,0.8149770000000001,42.25300979614258,27.84474372863769,288.9439697265625,1.6754850088183422
agra 2002,0,0.2220736316307865,0.1659604896580835,0.0748349856141832,0.11544143,2.3483384,42.09895706176758,28.212011337280273,295.5934753417969,1.6754850088183422
agra 2002,0,0.2126070071760236,0.1555692134515266,0.0683696032953426,0.14864296,0.49532235,38.58981704711914,27.832935333251953,265.46035766601557,1.6754850088183422
agra 2002,0,0.21625120303925702,0.1605280427747291,0.0718260789250035,0.17004216,1.3535087,37.78039169311523,27.54574775695801,257.40753173828125,1.6754850088183422
agra 2002,0,0.2188171380329252,0.1637003939777684,0.0742985931954411,0.19679654,0.9092957,34.347301483154304,27.177478790283203,241.06187438964844,1.6754850088183422
